INDUSIND BANK LIMITED               ,INDUSINDBK,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/indusindbank/IIB,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHARTI INFRATEL LTD.                ,INFRATEL  ,https://www.moneycontrol.com/india/stockpricequote/telecommunications-equipment/bhartiinfratel/BI14,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDIAN OIL CORP LTD                 ,IOC       ,https://www.moneycontrol.com/india/stockpricequote/refineries/indianoilcorporation/IOC,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ITC LTD                             ,ITC       ,https://www.moneycontrol.com/india/stockpricequote/cigarettes/itc/ITC,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
JINDAL STEEL & POWER LTD            ,JINDALSTEL,https://www.moneycontrol.com/india/stockpricequote/steel-sponge-iron/jindalsteelpower/JSP,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
JUBILANT FOODWORKS LTD              ,JUBLFOOD  ,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jubilantfoodworks/JF04,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
KOTAK MAHINDRA BANK LTD             ,KOTAKBANK ,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/kotakmahindrabank/KMB,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
L&T FINANCE HOLDINGS LTD            ,L&TFH     ,https://www.moneycontrol.com/india/stockpricequote/finance-investments/ltfinanceholdings/LFH,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LARSEN & TOUBRO LTD.                ,LT        ,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/larsentoubro/LT,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SUN PHARMACEUTICAL IND L            ,SUNPHARMA ,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sunpharmaceuticalindustries/SPI,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LUPIN LIMITED                       ,LUPIN     ,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MAHINDRA & MAHINDRA LTD             ,M&M       ,https://www.moneycontrol.com/india/stockpricequote/auto-carsjeeps/mahindramahindra/MM,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TORRENT PHARMACEUTICALS L           ,TORNTPHARM,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/torrentpharmaceuticals/TP06,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
M&M FIN. SERVICES LTD               ,M&MFIN    ,https://www.moneycontrol.com/india/stockpricequote/finance-nbfc/mahindramahindrafinancialservices/MMF04,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MARICO LIMITED                      ,MARICO    ,https://www.moneycontrol.com/india/stockpricequote/personal-care/marico/M13,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
UNITED SPIRITS LIMITED              ,MCDOWELL-N,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/unitedspirits/US,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
