,Stock,MCCode,StockCode,Link,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
61,ICICI PRU LIFE INS CO LTD           ,IPL01,ICICIPRULI,https://www.moneycontrol.com/india/stockpricequote/finance-general/iciciprudentiallifeinsurancecompany/IPL01,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
62,IDFC FIRST BANK LIMITED             ,IDF01,IDFCFIRSTB,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/idfcfirstbank/IDF01,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
63,INDIABULLS HSG FIN LTD              ,IHF01,IBULHSGFIN,https://www.moneycontrol.com/india/stockpricequote/finance-housing/indiabullshousingfinance/IHF01,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
64,INDIAN OIL CORP LTD                 ,IOC,IOC,https://www.moneycontrol.com/india/stockpricequote/refineries/indianoilcorporation/IOC,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
65,INDRAPRASTHA GAS LTD                ,IG04,IGL,https://www.moneycontrol.com/india/stockpricequote/oil-drillingexploration/indraprasthagas/IG04,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
66,INDUSIND BANK LIMITED               ,IIB,INDUSINDBK,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/indusindbank/IIB,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
67,INFO EDGE (I) LTD                   ,,NAUKRI,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/infoedgeindia/IEI01,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
68,INFOSYS LIMITED                     ,IT,INFY,https://www.moneycontrol.com/india/stockpricequote/computers-software/infosys/IT,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
69,INTERGLOBE AVIATION LTD             ,IA05,INDIGO,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/interglobeaviation/IA04,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
70,ITC LTD                             ,ITC,ITC,https://www.moneycontrol.com/india/stockpricequote/cigarettes/itc/ITC,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
71,JINDAL STEEL & POWER LTD            ,JSP,JINDALSTEL,https://www.moneycontrol.com/india/stockpricequote/steel-sponge-iron/jindalsteelpower/JSP,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
72,JSW STEEL LIMITED                   ,JVS,JSWSTEEL,https://www.moneycontrol.com/india/stockpricequote/steel-large/jswsteel/JSW01,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
73,JUBILANT FOODWORKS LTD              ,JF04,JUBLFOOD,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jubilantfoodworks/JF04,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
74,KOTAK MAHINDRA BANK LTD             ,KMF,KOTAKBANK,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/kotakmahindrabank/KMB,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
75,L&T FINANCE HOLDINGS LTD            ,LFH,L&TFH,https://www.moneycontrol.com/india/stockpricequote/finance-investments/ltfinanceholdings/LFH,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
76,LARSEN & TOUBRO LTD.                ,LT,LT,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/larsentoubro/LT,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
77,LIC HOUSING FINANCE LTD             ,LIC,LICHSGFIN,https://www.moneycontrol.com/india/stockpricequote/finance-housing/lichousingfinance/LIC,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
78,LUPIN LIMITED                       ,LC03,LUPIN,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
